Occupation,standard,idfobject,Name,objectfield,Value,Comment
MFH,efficient,Construction,window_w_blinds,Layer_2,Glass-efficient,
MFH,non-standard,Construction,window_w_blinds,Layer_2,Glass-non-standard,
MFH,ZEB,Construction,window_w_blinds,Layer_2,Glass-ZEB,
SFH,efficient,Construction,window_w_blinds,Outside_Layer,Glass-efficient,
SFH,non-standard,Construction,window_w_blinds,Outside_Layer,Glass-non-standard,
SFH,ZEB,Construction,window_w_blinds,Outside_Layer,Glass-ZEB,
RT,efficient,Construction,window_w_blinds,Layer_2,Glass-efficient,
RT,non-standard,Construction,window_w_blinds,Layer_2,Glass-non-standard,
RT,ZEB,Construction,window_w_blinds,Layer_2,Glass-ZEB,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA G SW Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA G NW Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA Office,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA G NE Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA G N1 Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA G N2 Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA G S1 Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA G S2 Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA M SW Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA M NW Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA M SE Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
RT,ZEB,DesignSpecification:OutdoorAir,SZ DSOA M NE Apartment,Outdoor_Air_Flow_per_Zone_Floor_Area,0,
